kernel,kind,omega,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(good),omega=0.0,0.0,Principal Components (kDMD),0,,4,0.007050194136692611,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.009793480428756052,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),0,,3,0.9197518457467492,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),1,,4,0.007993367711594868,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),1,,4,0.009655181042149685,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),1,,4,0.9102629751716373,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),2,,4,0.010492958488671045,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.011572984730011115,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),2,,3,0.9334812493152077,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),3,,4,0.009205543638089786,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),3,,4,0.010720469588848092,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),3,,3,0.9094523739743221,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),4,,4,0.01005050678629249,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.011406419072232277,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.9226925968844409,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),5,,4,0.011630806453295728,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),5,,4,0.012882024956874738,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),5,,2,0.9113243389177583,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),6,,4,0.008086391143348748,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),6,,4,0.010964954906285795,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),6,,2,0.9080989332277836,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),7,,4,0.006177221271477684,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.01019996651360211,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),7,,2,0.9226260763079709,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),8,,4,0.013528774240700647,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.01399897919658033,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.9103886205186478,5
hermite(good),omega=0.0,0.0,Principal Components (kDMD),9,,4,0.007079216056970372,5
hermite(bad),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.009922710636845022,5
hermite(ugly),omega=0.0,0.0,Principal Components (kDMD),9,,3,0.9226920741598112,5
hermite(good),omega=0.0,0.0,Reduced Rank,0,,4,0.0069605230085707515,5
hermite(bad),omega=0.0,0.0,Reduced Rank,0,,5,0.008341207635930714,5
hermite(ugly),omega=0.0,0.0,Reduced Rank,0,,2,0.9197717122624061,5
