kernel,kind,method,trial,eigenfunction_id,spectral_bias,metric_distortion,truncation,residual_spurious_score,spectral_gap,est_eig_real,est_eig_imag,gap
linear,omega=0.0,Principal Components (kDMD),0,1,0.0,6.335052466563488,0.0,0.3794185301270581,0.0,0.991647755125945,0.005197855564969972,0.0
linear,omega=0.0,Principal Components (kDMD),0,2,0.0,6.335052466563488,0.0,0.3794185301270581,0.0,0.991647755125945,-0.005197855564969972,0.0
linear,omega=0.0,Principal Components (kDMD),0,3,0.0,0.0,0.0,1.0006785807801646,0.0,1.6486796679117545e-08,0.0,0.0
linear,omega=0.0,Principal Components (kDMD),0,4,0.0,0.0,0.0,1.0001355355950154,0.0,-3.512989096718247e-09,0.0,0.0
linear,omega=0.0,Principal Components (kDMD),0,5,0.0,0.0,0.0,1.0003769152336313,0.0,4.363320960302872e-10,0.0,0.0
linear,omega=0.0,Principal Components (kDMD),1,1,0.0,6.534616452420406,0.0,0.3875259165547194,0.0,0.99139864050863,0.001350516252209218,0.0
linear,omega=0.0,Principal Components (kDMD),1,2,0.0,6.534616452420406,0.0,0.3875259165547194,0.0,0.99139864050863,-0.001350516252209218,0.0
linear,omega=0.0,Principal Components (kDMD),1,3,,,0.0,,0.0,-2.1650681991653103e-08,0.0,0.0
linear,omega=0.0,Principal Components (kDMD),1,4,0.0,0.0,0.0,1.00176161014529,0.0,2.0734288164064864e-09,6.13030496215955e-09,0.0
linear,omega=0.0,Principal Components (kDMD),1,5,0.0,0.0,0.0,1.00176161014529,0.0,2.0734288164064864e-09,-6.13030496215955e-09,0.0
linear,omega=0.0,Principal Components (kDMD),2,1,0.0,6.645201434079657,0.0,0.40024379641177465,0.0,0.9907484563599316,0.000551240690351217,0.0
linear,omega=0.0,Principal Components (kDMD),2,2,0.0,6.645201434079657,0.0,0.40024379641177465,0.0,0.9907484563599316,-0.000551240690351217,0.0
linear,omega=0.0,Principal Components (kDMD),2,3,0.0,0.0,0.0,1.0000342496893784,0.0,-4.58099948817841e-09,1.2544277941542953e-08,0.0
linear,omega=0.0,Principal Components (kDMD),2,4,0.0,0.0,0.0,1.0000342496893784,0.0,-4.58099948817841e-09,-1.2544277941542953e-08,0.0
linear,omega=0.0,Principal Components (kDMD),2,5,0.0,0.0,0.0,1.0010400282384204,0.0,4.6153809439478047e-10,0.0,0.0
linear,omega=0.0,Principal Components (kDMD),3,1,0.0,6.646791284457153,0.0,0.44587344930127093,0.0019011272220349484,0.9911145184493898,0.0,0.0019011272220349484
linear,omega=0.0,Principal Components (kDMD),3,2,0.0,6.852782583039317,0.0,0.44586636941061863,0.0019011272220349484,0.9892133912273549,0.0,0.0019011272220349484
linear,omega=0.0,Principal Components (kDMD),3,3,0.0,0.0,0.0,1.001003842986035,0.0019011272220349484,4.3357719882799095e-09,1.2831863130388122e-08,0.0019011272220349484
linear,omega=0.0,Principal Components (kDMD),3,4,0.0,0.0,0.0,1.001003842986035,0.0019011272220349484,4.3357719882799095e-09,-1.2831863130388122e-08,0.0019011272220349484
linear,omega=0.0,Principal Components (kDMD),3,5,0.0,0.0,0.0,1.0004058971301908,0.0019011272220349484,-7.719589624572076e-10,0.0,0.0019011272220349484
linear,omega=0.0,Principal Components (kDMD),4,1,0.0,6.608831325406054,0.0,0.3088619333070787,0.0028715012065742007,0.9906812913788008,0.0,0.0028715012065742007
linear,omega=0.0,Principal Components (kDMD),4,2,0.0,7.059644025307409,0.0,0.4494734006445659,0.0028715012065742007,0.9878097901722266,0.0,0.0028715012065742007
linear,omega=0.0,Principal Components (kDMD),4,3,0.0,0.0,0.0,1.0001310992698493,0.0028715012065742007,1.920537627410997e-09,5.17947415700233e-09,0.0028715012065742007
linear,omega=0.0,Principal Components (kDMD),4,4,0.0,0.0,0.0,1.0001310992698493,0.0028715012065742007,1.920537627410997e-09,-5.17947415700233e-09,0.0028715012065742007
linear,omega=0.0,Principal Components (kDMD),4,5,0.0,0.0,0.0,1.0000955001454221,0.0028715012065742007,5.0372266328662764e-09,0.0,0.0028715012065742007
linear,omega=0.0,Principal Components (kDMD),5,1,0.0,6.1185171411810355,0.0,0.2988239822604562,0.009938228806074534,0.993848834466761,0.0,0.009938228806074534
linear,omega=0.0,Principal Components (kDMD),5,2,0.0,7.6437053208892225,0.0,0.5730860105981384,0.009938228806074534,0.9839106056606864,0.0,0.009938228806074534
linear,omega=0.0,Principal Components (kDMD),5,3,,,0.0,,0.009938228806074534,2.6025661932257004e-08,0.0,0.009938228806074534
linear,omega=0.0,Principal Components (kDMD),5,4,0.0,0.0,0.0,0.9999986363858543,0.009938228806074534,-4.4355977742739335e-09,8.657136573091418e-09,0.009938228806074534
linear,omega=0.0,Principal Components (kDMD),5,5,0.0,0.0,0.0,0.9999986363858543,0.009938228806074534,-4.4355977742739335e-09,-8.657136573091418e-09,0.009938228806074534
linear,omega=0.0,Principal Components (kDMD),6,1,0.0,6.440178522430705,0.0,0.3782093972445403,0.0016197588977332478,0.9917543475300132,0.0,0.0016197588977332478
linear,omega=0.0,Principal Components (kDMD),6,2,0.0,6.739945126518097,0.0,0.32398544632180687,0.0016197588977332478,0.99013458863228,0.0,0.0016197588977332478
linear,omega=0.0,Principal Components (kDMD),6,3,,,0.0,,0.0016197588977332478,1.6309168813562107e-08,0.0,0.0016197588977332478
linear,omega=0.0,Principal Components (kDMD),6,4,0.0,0.0,0.0,1.000002351606337,0.0016197588977332478,-5.962436191632464e-09,0.0,0.0016197588977332478
linear,omega=0.0,Principal Components (kDMD),6,5,0.0,0.0,0.0,1.00152103331274,0.0016197588977332478,1.7194355415316852e-09,0.0,0.0016197588977332478
linear,omega=0.0,Principal Components (kDMD),7,1,0.0,6.237289467783471,0.0,0.35076903331809967,0.004028626395864654,0.993340126434654,0.0,0.004028626395864654
linear,omega=0.0,Principal Components (kDMD),7,2,0.0,6.847222667856002,0.0,0.4315466575752243,0.004028626395864654,0.9893115000387893,0.0,0.004028626395864654
linear,omega=0.0,Principal Components (kDMD),7,3,0.0,0.0,0.0,1.0000232893722973,0.004028626395864654,1.1905819217256579e-08,0.0,0.004028626395864654
linear,omega=0.0,Principal Components (kDMD),7,4,0.0,0.0,0.0,1.0001041385095824,0.004028626395864654,-9.583144475487196e-09,0.0,0.004028626395864654
linear,omega=0.0,Principal Components (kDMD),7,5,0.0,0.0,0.0,1.0000010015845129,0.004028626395864654,-4.349729546887571e-09,0.0,0.004028626395864654
linear,omega=0.0,Principal Components (kDMD),8,1,0.0,6.491275131127648,0.0,0.41500921612554637,0.0024768525835263677,0.9915329573497268,0.0,0.0024768525835263677
linear,omega=0.0,Principal Components (kDMD),8,2,0.0,6.951130245016531,0.0,0.377413378761978,0.0024768525835263677,0.9890561047662004,0.0,0.0024768525835263677
linear,omega=0.0,Principal Components (kDMD),8,3,0.0,0.0,0.0,1.0000121837585818,0.0024768525835263677,1.2438911112743901e-08,0.0,0.0024768525835263677
linear,omega=0.0,Principal Components (kDMD),8,4,0.0,0.0,0.0,1.0000112239626724,0.0024768525835263677,-2.881398647213383e-10,1.2538562112940276e-09,0.0024768525835263677
linear,omega=0.0,Principal Components (kDMD),8,5,0.0,0.0,0.0,1.0000112239626724,0.0024768525835263677,-2.881398647213383e-10,-1.2538562112940276e-09,0.0024768525835263677
linear,omega=0.0,Principal Components (kDMD),9,1,0.0,6.431243851937972,0.0,0.39537861130127244,0.0,0.9919291382385764,0.0016202343158770358,0.0
