kernel,kind,method,eigenfunction_id,n,bias_mean,bias_std,dist_mean,trunc_mean,spurious_mean,spurious_std
linear,omega=0.0,Principal Components (kDMD),1,10,0.0,0.0,6.448899707738759,0.0,0.37601138659518163,0.04548135482908669
linear,omega=0.0,Principal Components (kDMD),2,10,0.0,0.0,6.804054417362811,0.0,0.41639381177071566,0.06642181151083694
linear,omega=0.0,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0003138743093845,0.0004233487975379262
linear,omega=0.0,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.000354318704957,0.0005805381801649684
linear,omega=0.0,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.000521180458481,0.0006748042818507907
linear,omega=0.0,Reduced Rank,1,10,1.0660343579110724e-15,5.929837447930534e-16,0.43944406557027754,2.392391434324587e-15,0.37371982996821185,0.03861747283689118
linear,omega=0.0,Reduced Rank,2,10,2.328346099212261e-15,1.690586569036734e-15,0.9525382317734693,2.392391434324587e-15,0.41060440633300016,0.07846190047380878
linear,omega=0.0,Reduced Rank,3,10,0.0,0.0,0.0,2.392391434324587e-15,1.0003776221843508,0.00041438886817983327
linear,omega=0.0,Reduced Rank,4,10,0.0,0.0,0.0,2.392391434324587e-15,1.0002181094957978,0.00039771696359421245
linear,omega=0.0,Reduced Rank,5,7,1.4153408045648572e-14,1.0191804720215593e-14,5.816678612433471,2.2834452917776232e-15,1.0005457440277166,0.00035693815277620505
linear,omega=0.5,Principal Components (kDMD),1,10,0.0,0.0,6.636503988169833,0.0,0.38636221943458887,0.023432709793453854
linear,omega=0.5,Principal Components (kDMD),2,10,0.0,0.0,6.724761463831387,0.0,0.3869335364512457,0.023257149090239817
linear,omega=0.5,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0006396820083012,0.0013016772423183878
linear,omega=0.5,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.0005993626249563,0.0009033630461193189
linear,omega=0.5,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.000618866915247,0.0007556635100789312
linear,omega=0.5,Reduced Rank,1,10,5.145017753328683e-16,1.5869116185193665e-16,0.2305381581331086,2.294741408536388e-15,0.39949550071645223,0.013547863679069202
linear,omega=0.5,Reduced Rank,2,10,5.145017753328683e-16,1.5869116185193665e-16,0.2305381581331086,2.294741408536388e-15,0.39949550071645223,0.013547863679069202
linear,omega=0.5,Reduced Rank,3,10,0.0,0.0,0.0,2.294741408536388e-15,1.0009546500520192,0.0012579230021641371
linear,omega=0.5,Reduced Rank,4,10,0.0,0.0,0.0,2.294741408536388e-15,1.000667526209248,0.0010709320578280493
linear,omega=0.5,Reduced Rank,5,8,3.850246385349643e-14,,15.958822932705766,2.355617683471862e-15,1.0002244632530362,
linear,omega=1.0,Principal Components (kDMD),1,10,0.0,0.0,6.650392672056266,0.0,0.38588700484025307,0.022040682661954747
linear,omega=1.0,Principal Components (kDMD),2,10,0.0,0.0,6.650392672056266,0.0,0.38588700484025307,0.022040682661954747
linear,omega=1.0,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0004629822338487,0.0007840954241329664
linear,omega=1.0,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.0005273416714098,0.0007620299771666089
linear,omega=1.0,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.0008535088669128,0.0017655753349675775
linear,omega=1.0,Reduced Rank,1,10,5.313403772732416e-16,2.099939519190842e-16,0.2238718304230605,2.256295565719797e-15,0.3843910455659924,0.025951851246891817
linear,omega=1.0,Reduced Rank,2,10,5.313403772732416e-16,2.099939519190842e-16,0.2238718304230605,2.256295565719797e-15,0.3843910455659924,0.025951851246891817
linear,omega=1.0,Reduced Rank,3,10,0.0,0.0,0.0,2.256295565719797e-15,1.0027479333651022,0.005633354954882532
linear,omega=1.0,Reduced Rank,4,10,1.6557813718791285e-14,3.6108701278846336e-14,6.408076234818152,2.256295565719797e-15,1.0032056952502721,0.005886856879538093
linear,omega=1.0,Reduced Rank,5,7,5.251359915503648e-14,2.1969736772616963e-14,21.5810033239831,2.2054112525962657e-15,1.0010447830030593,0.000532914843052538
linear,omega=2.0,Principal Components (kDMD),1,10,0.0,0.0,6.657219001752528,0.0,0.390977289614504,0.020787199014422966
linear,omega=2.0,Principal Components (kDMD),2,10,0.0,0.0,6.657219001752528,0.0,0.390977289614504,0.020787199014422966
linear,omega=2.0,Principal Components (kDMD),3,10,0.0,0.0,0.0,0.0,1.0005886076456478,0.001304715486148783
linear,omega=2.0,Principal Components (kDMD),4,10,0.0,0.0,0.0,0.0,1.0001203154966976,0.00016980155068666646
linear,omega=2.0,Principal Components (kDMD),5,10,0.0,0.0,0.0,0.0,1.0004091721050257,0.00047388514502339635
linear,omega=2.0,Reduced Rank,1,10,3.473117469037839e-15,6.159334623487465e-15,1.5654596309473205,2.1970746779943255e-15,0.38648639723876177,0.023000823452161687
linear,omega=2.0,Reduced Rank,2,10,3.473117469037839e-15,6.159334623487465e-15,1.5654596309473205,2.1970746779943255e-15,0.38648639723876177,0.023000823452161687
linear,omega=2.0,Reduced Rank,3,9,0.0,0.0,0.0,2.1949025909088464e-15,1.0009506009727385,0.00043343056340578465
linear,omega=2.0,Reduced Rank,4,9,8.781342576124353e-15,1.520973150051515e-14,4.059370315618701,2.1949025909088464e-15,1.0005731578180648,0.00021531716071905433
linear,omega=2.0,Reduced Rank,5,5,4.971713736115815e-14,,23.201165694860972,2.1594882717751593e-15,0.999979626234649,
