kernel,kind,method,n_modes_used,weight_sum,agg_bias_mean,agg_bias_std,agg_dist_mean,agg_trunc_mean,agg_spurious_mean,agg_spurious_std,mean_spurious_ref_count,mean_spurious_residual_count,mean_spectral_gap,std_spectral_gap,mean_rank,agg_bias_mean_norm,agg_dist_mean_norm,agg_spurious_mean_norm,agg_trunc_mean_norm,agg_bias_std_norm,agg_spurious_std_norm,mean_spurious_ref_count_norm,mean_spurious_residual_count_norm,mean_spectral_gap_norm,composite_score,used_metrics,admissible,constraint_violations,rank
rbf(gamma=0.03687187338817967),omega=0.0,Principal Components (kDMD),3.0,1.0,0.015256417567304847,,11.221459752582728,0.0013595751269163917,0.21602929233436824,,,4.0,0.008386840288629127,,5.0,-0.46611270692702783,-0.9202475630841415,-1.2579005105133243,-0.5054016057064488,0.0,0.0,0.0,-3.45010518773727,0.384258926612956,-6.15493730780851,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,2
rbf(gamma=0.037157577723778375),omega=0.0,Principal Components (kDMD),3.0,1.0,0.02510049633073643,,13.21431461377604,0.0018994928654543258,0.22198215011660638,,,4.0,0.008032016136268028,,5.0,-0.4661120593240853,-0.8881660939398409,-1.1757343720536662,-0.5053954244824519,0.0,0.0,0.0,-3.45010518773727,0.5306942547675716,-5.967468297912303,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,4
rbf(gamma=0.07374374677635934),omega=0.0,Principal Components (kDMD),3.0,1.0,0.04607087765934897,,10.382257740599012,0.004437462333379798,0.22988791079154916,,,4.0,0.007715033140896499,,5.0,-0.46611067976577625,-0.9337572440837749,-1.0666126946998962,-0.505366368652908,0.0,0.0,0.0,-3.45010518773727,0.6615126013704948,-5.838512689927923,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,6
rbf(gamma=0.04090578015752305),omega=0.0,Principal Components (kDMD),3.0,1.0,0.021638231156322366,,11.04484989573357,0.0019591240587779135,0.26028258473105204,,,4.0,0.00888490846984935,,5.0,-0.4661122870927946,-0.9230906721250542,-0.6470809204315743,-0.5053947417974115,0.0,0.0,0.0,-3.45010518773727,0.1787070297789116,-5.649732923395944,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,8
rbf(gamma=0.050925611677024626),omega=0.0,Principal Components (kDMD),3.0,1.0,0.022044370722229988,,11.13566178911944,0.00197961927541382,0.24330201530552176,,,4.0,0.006975725835262958,,5.0,-0.4661122603744816,-0.9216287598642438,-0.8814604184106749,-0.5053945071588436,0.0,0.0,0.0,-3.45010518773727,0.966623477242825,-5.488692141344679,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,11
rbf(gamma=0.0818115603150461),omega=0.0,Principal Components (kDMD),3.0,1.0,0.06470093735575506,,10.22068087066543,0.006330394048546654,0.2736129718305955,,,4.0,0.008694655427900377,,5.0,-0.46610945416795563,-0.9363583483930485,-0.463084179335213,-0.5053446975091258,0.0,0.0,0.0,-3.45010518773727,0.2572241387322482,-5.439717449021926,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,12
rbf(gamma=0.037808931722169516),omega=0.0,Principal Components (kDMD),3.0,1.0,0.018542347440981852,,10.581850930343403,0.0017522782699396916,0.25751781165558174,,,4.0,0.006835985726854621,,5.0,-0.4661124907587193,-0.9305441436804857,-0.6852425455936012,-0.5053971098621413,0.0,0.0,0.0,-3.45010518773727,1.0242939838725755,-5.2725559307648595,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,15
rbf(gamma=0.041615479676953476),omega=0.0,Principal Components (kDMD),3.0,1.0,0.020782105037347127,,12.08178832453644,0.0017201182870537099,0.2456419436099636,,,5.0,0.011483501930134143,,5.0,-0.4661123434139403,-0.9063977815107026,-0.849162843013845,-0.5053974780442619,0.0,0.0,0.0,0.2898462352841596,-0.8937281005951496,-2.631389521974034,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,41
rbf(gamma=0.05607236565047633),omega=0.0,Principal Components (kDMD),3.0,1.0,0.028483122596861008,,10.560031679874314,0.0026972573056902056,0.23888687060565594,,,5.0,0.01047505419897643,,5.0,-0.4661118367945042,-0.9308953953568153,-0.9424018021962968,-0.5053862913120633,0.0,0.0,0.0,0.2898462352841596,-0.47754342585921683,-2.5410276576490967,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,48
rbf(gamma=0.08323095935390695),omega=0.0,Principal Components (kDMD),3.0,1.0,0.06033639684609948,,10.502659725151101,0.005744868292896295,0.25837870478939884,,,5.0,0.010672283386730319,,5.0,-0.46610974129378474,-0.931818983236215,-0.673359805064633,-0.5053514008744597,0.0,0.0,0.0,0.2898462352841596,-0.5589395783990724,-2.3135877839472396,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,60
rbf(gamma=0.11214473130095266),omega=0.0,Principal Components (kDMD),3.0,1.0,0.08211993569302867,,9.859104173420821,0.008329350643683833,0.26279639243227265,,,5.0,0.009758652441473892,,5.0,-0.466108308241064,-0.9421790992574669,-0.6123833215311365,-0.5053218125442639,0.0,0.0,0.0,0.2898462352841596,-0.18188563099843852,-2.0744282155168596,"agg_bias_mean, agg_dist_mean, agg_spurious_mean, agg_trunc_mean, agg_bias_std, agg_spurious_std, mean_spurious_ref_count, mean_spurious_residual_count, mean_spectral_gap",True,,77
