kernel,kind,omega,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.011483501930134143,5
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.010672283386730319,5
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.00979581399106455,5
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.009649755862148446,5
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Principal Components (kDMD),0,,5,0.007982661028042126,5
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Principal Components (kDMD),1,,4,0.008386840288629127,5
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Principal Components (kDMD),1,,4,0.007715033140896499,5
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Principal Components (kDMD),1,,5,0.006816269097216776,5
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Principal Components (kDMD),1,,5,0.006893264382946129,5
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Principal Components (kDMD),1,,5,0.00791667472098978,5
rbf(gamma=0.06492902188090491),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.00722850676560105,5
rbf(gamma=0.12985804376180982),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.006778826013148831,5
rbf(gamma=0.25971608752361963),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.006750403074042621,5
rbf(gamma=0.5194321750472393),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.00785146226778144,5
rbf(gamma=1.0388643500944785),omega=0.0,0.0,Principal Components (kDMD),2,,5,0.010081081931559432,5
rbf(gamma=0.04090578015752305),omega=0.0,0.0,Principal Components (kDMD),3,,4,0.00888490846984935,5
rbf(gamma=0.0818115603150461),omega=0.0,0.0,Principal Components (kDMD),3,,4,0.008694655427900377,5
rbf(gamma=0.1636231206300922),omega=0.0,0.0,Principal Components (kDMD),3,,5,0.008440449195555755,5
rbf(gamma=0.3272462412601844),omega=0.0,0.0,Principal Components (kDMD),3,,5,0.008375205917453443,5
rbf(gamma=0.6544924825203688),omega=0.0,0.0,Principal Components (kDMD),3,,5,0.008965054605012623,5
rbf(gamma=0.05607236565047633),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.01047505419897643,5
rbf(gamma=0.11214473130095266),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.009758652441473892,5
rbf(gamma=0.22428946260190533),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.009345888207450193,5
rbf(gamma=0.44857892520381065),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.010235108747069566,5
rbf(gamma=0.8971578504076213),omega=0.0,0.0,Principal Components (kDMD),4,,5,0.013560373437437323,5
rbf(gamma=0.050925611677024626),omega=0.0,0.0,Principal Components (kDMD),5,,4,0.006975725835262958,5
rbf(gamma=0.10185122335404925),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.006739716761927084,5
rbf(gamma=0.2037024467080985),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.006747560338696723,5
rbf(gamma=0.407404893416197),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.007399266437704388,5
rbf(gamma=0.814809786832394),omega=0.0,0.0,Principal Components (kDMD),5,,5,0.009125192162870888,5
rbf(gamma=0.03538973938208476),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.007270700268699581,5
rbf(gamma=0.07077947876416953),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.006483169735274297,5
rbf(gamma=0.14155895752833905),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.0054578748275712075,5
rbf(gamma=0.2831179150566781),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.005075998061984999,5
rbf(gamma=0.5662358301133562),omega=0.0,0.0,Principal Components (kDMD),6,,5,0.005796551674686401,5
rbf(gamma=0.037808931722169516),omega=0.0,0.0,Principal Components (kDMD),7,,4,0.006835985726854621,5
rbf(gamma=0.07561786344433903),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.006213669426415436,5
rbf(gamma=0.15123572688867806),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.005538330324639018,5
rbf(gamma=0.3024714537773561),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.005370872085328715,5
rbf(gamma=0.6049429075547123),omega=0.0,0.0,Principal Components (kDMD),7,,5,0.006552513290539519,5
rbf(gamma=0.05108148762807717),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.00703310656838152,5
rbf(gamma=0.10216297525615434),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.006417554548014515,5
rbf(gamma=0.20432595051230867),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.0058692413811329835,5
rbf(gamma=0.40865190102461735),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.0057251694642566076,5
rbf(gamma=0.8173038020492347),omega=0.0,0.0,Principal Components (kDMD),8,,5,0.005836691238923164,5
rbf(gamma=0.037157577723778375),omega=0.0,0.0,Principal Components (kDMD),9,,4,0.008032016136268028,5
rbf(gamma=0.07431515544755675),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.007714598534844019,5
rbf(gamma=0.1486303108951135),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.007632060414780484,5
rbf(gamma=0.297260621790227),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.008610949727391182,5
rbf(gamma=0.594521243580454),omega=0.0,0.0,Principal Components (kDMD),9,,5,0.010075058444864338,5
rbf(gamma=0.041615479676953476),omega=0.0,0.0,Reduced Rank,0,,5,0.011273661750156871,5
rbf(gamma=0.08323095935390695),omega=0.0,0.0,Reduced Rank,0,,5,0.010487998475210536,5
rbf(gamma=0.1664619187078139),omega=0.0,0.0,Reduced Rank,0,,5,0.00959654804429666,5
rbf(gamma=0.3329238374156278),omega=0.0,0.0,Reduced Rank,0,,5,0.00919919888185905,5
rbf(gamma=0.6658476748312556),omega=0.0,0.0,Reduced Rank,0,,5,0.007304615378165735,5
rbf(gamma=0.03687187338817967),omega=0.0,0.0,Reduced Rank,1,,4,0.008059961556605155,5
rbf(gamma=0.07374374677635934),omega=0.0,0.0,Reduced Rank,1,,4,0.007503599498234981,5
rbf(gamma=0.14748749355271867),omega=0.0,0.0,Reduced Rank,1,,5,0.0066559304230223715,5
rbf(gamma=0.29497498710543735),omega=0.0,0.0,Reduced Rank,1,,5,0.006551797683309379,5
rbf(gamma=0.5899499742108747),omega=0.0,0.0,Reduced Rank,1,,5,0.007122077754053047,5
